Product ID,Product Name,Category,Region,Sales,Quantity,Customer ID,Date
101,Laptop,Electronics,North,1500,2,C001,1/5/2025
102,Smartphone,Electronics,South,1200,3,C002,2/10/2025
103,Desk Chair,Furniture,East,500,1,C003,3/25/2025
104,Refrigerator,Appliances,West,2000,1,C004,5/6/2025
101,Laptop,Electronics,North,1500,2,C001,1/5/2025
105,Microwave,Appliances,South,800,2,C005,3/15/2025
106,Tablet,Electronics,East,900,3,C006,4/28/2025
107,Sofa,Furniture,West,2500,1,C007,5/6/2025
108,Washing Machine,Appliances,North,3000,1,C008,2/2/2025
109,Monitor,Electronics,South,1000,2,C009,3/20/2025
110,Coffee Table,Furniture,East,600,1,C010,4/17/2025
111,Headphones,Electronics,West,200,5,C011,1/30/2025
102,Smartphone,Electronics,South,1200,3,C002,2/10/2025
112,Air Conditioner,Appliances,North,3500,1,C012,3/19/2025
113,Bookshelf,Furniture,East,400,2,C013,4/22/2025
114,Smartwatch,Electronics,West,700,1,C014,1/25/2025
115,Television,Electronics,North,5000,1,C015,2/12/2025
116,Toaster,Appliances,South,300,2,C016,3/8/2025
117,Bed Frame,Furniture,East,2800,1,C017,5/1/2025
118,Camera,Electronics,West,1800,1,C018,5/6/2025
119,Vacuum Cleaner,Appliances,North,1200,1,C019,2/11/2025
120,Game Console,Electronics,South,400,2,C020,4/20/2025
107,Sofa,Furniture,West,2500,1,C007,5/6/2025
115,Television,Electronics,North,5000,1,C015,2/12/2025
109,Monitor,Electronics,South,1000,2,C009,3/20/2025
